CustomerID,CustFirstName,CustLastName,CustStreet,CustCity,CustState,CustZip,CustPhone,CustDOB
,Frasquito,Roylance,92 Quincy Street,Philadelphia,PA,19136,(215) 3473612,8/16/1992
,Welbie,Girt,24 4th Lane,Hampton,VA,23663,(757) 7061792,6/24/1947
,Mechelle,Hully,336 Clemons Trail,Tulsa,OK,74156,(918) 1606298,11/7/1991
,Theressa,Offen,45615 Porter Circle,Orlando,FL,32830,(407) 2968668,8/7/1992
,Ebeneser,Todaro,36856 Harbort Junction,Des Moines,IA,50330,(515) 3130737,9/14/1960
,Xenia,Puncher,03 Talmadge Hill,Miami,FL,33261,(305) 6084814,9/24/1967
,Bryanty,Wennam,4 Pleasure Junction,Honolulu,HI,96810,(808) 6659166,8/21/1995
,Gilberto,Brownlow,09 Thierer Plaza,Detroit,MI,48211,(810) 7354914,6/26/1977
,Teresita,Critchlow,15128 Barnett Avenue,Houston,TX,77055,(832) 4505415,1/23/1965
,Ax,Costan,207 Algoma Lane,Portsmouth,VA,23705,(757) 2299705,4/5/1955
,Freemon,Dye,0 Lakewood Trail,Trenton,NJ,8650,(609) 2813774,11/30/1990
,Andre,Hughman,5144 Express Drive,Toledo,OH,43610,(419) 9642470,6/25/1968
,Bell,Filippo,6017 Texas Court,Lake Charles,LA,70607,(337) 8542996,4/30/1984
,Fabiano,Leadbitter,80166 Armistice Parkway,New York City,NY,10275,(212) 4043154,11/6/1942
,Marietta,Gerrish,4080 Burrows Parkway,New York City,NY,10079,(212) 4662303,1/4/1959
,Langston,Buckbee,9 Thierer Circle,Billings,MT,59105,(406) 3751746,7/21/1991
,Frasco,Rodrigo,265 Blaine Way,Fort Lauderdale,FL,33320,(754) 5145238,1/13/2000
,Muire,Shaplin,8 Kingsford Hill,Rochester,NY,14652,(585) 7081802,7/17/1957
,Marlon,Sweedy,56 Havey Parkway,Mobile,AL,36670,(251) 5603551,3/28/1939
,Manuel,Kops,26 Waywood Crossing,New York City,NY,10045,(212) 6242182,9/20/1959
,Kevon,Lisciandri,1905 Maryland Court,Des Moines,IA,50936,(515) 2793266,10/2/1972
,Gwendolyn,Novotna,63640 Nobel Street,Cleveland,OH,44105,(216) 6299968,2/13/1965
,Mattie,Costigan,60281 Chive Center,Norfolk,VA,23504,(757) 3033952,6/14/1943
,Ron,Newborn,07 Delladonna Street,Cincinnati,OH,45218,(513) 6196838,1/9/1995
,Amalie,Kidson,22328 Dwight Park,Fort Wayne,IN,46805,(260) 8801256,2/25/1966
,Cynthia,Fulk,8 5th Plaza,South Bend,IN,46699,(574) 7825426,7/5/1969
,Melba,Brabant,55134 Spohn Crossing,New York City,NY,10009,(646) 4540002,9/19/1946
,Borg,Borne,6 Fairfield Lane,Peoria,IL,61656,(309) 7340719,7/23/1969
,Moe,Lobb,748 7th Street,Irvine,CA,92717,(714) 1684837,12/3/1981
,Patsy,Willimott,4 International Crossing,Littleton,CO,80161,(720) 2379890,12/10/1948
,Eugenio,Gabbetis,885 Di Loreto Center,Hot Springs National Park,AR,71914,(501) 1956383,5/9/1949
,Blinni,Van Der Walt,7230 Jackson Terrace,Saint Louis,MO,63167,(314) 6868067,8/3/1952
,Debi,Brettoner,36 Hagan Crossing,Columbus,OH,43215,(614) 4676934,6/1/1936
,Moore,Jako,8108 Lerdahl Place,Toledo,OH,43656,(419) 4002928,11/29/1958
,Vinnie,Kuschel,6600 Ridgeway Street,Washington,DC,20062,(202) 7514116,11/25/1962
,Allis,MacDowall,478 Ludington Trail,Torrance,CA,90505,(310) 6428893,6/25/1984
,Genia,Kaemena,4672 Eliot Point,Honolulu,HI,96805,(808) 2620427,1/31/1988
,Barnebas,Biglin,6147 Mariners Cove Park,Camden,NJ,8104,(856) 5296451,9/22/1955
,Evelina,Landis,43358 Loeprich Street,Lawrenceville,GA,30245,(404) 5824870,1/30/1959
,Homer,Towe,2121 Pennsylvania Trail,Columbia,SC,29240,(803) 2914565,6/19/1993
,Marge,McMennum,55320 Farragut Lane,Springfield,MA,1114,(413) 1283903,10/31/1948
,Penny,Ashman,45 Shelley Trail,Concord,CA,94522,(925) 8683585,4/10/1948
,Butch,Haccleton,367 Eastwood Park,Miami,FL,33185,(305) 8333815,6/24/1980
,Clyde,Richford,78 Di Loreto Road,Houston,TX,77050,(281) 8542317,2/20/1959
,Dixie,Dubose,002 Pepper Wood Lane,Albuquerque,NM,87195,(505) 2656529,12/19/1967
,Benyamin,Caswall,0 Montana Avenue,San Jose,CA,95108,(408) 7268741,2/18/1937
,Ernestus,Furlow,7 Northfield Point,Saint Paul,MN,55114,(612) 3395073,8/13/1997
,Nehemiah,Jakeman,6120 Fair Oaks Lane,Dayton,OH,45440,(937) 1176471,11/3/1958
,Ann-marie,Houseley,43 Pearson Parkway,Oklahoma City,OK,73152,(405) 8289942,10/13/1994
,Bondon,Munt,7747 Hanover Lane,Minneapolis,MN,55480,(612) 8535021,3/17/2002
,Allistir,Dowall,5801 Jackson Circle,Danbury,CT,6816,(203) 4781274,12/25/1998
,Debor,Finnigan,88080 Hoard Place,Boston,MA,2298,(617) 2791621,7/28/2000
,Ashlie,Younge,69173 Tony Park,Des Moines,IA,50981,(515) 2181335,3/18/1999
,Cyrus,Worham,1 Lien Plaza,Toledo,OH,43699,(419) 3161494,12/13/1978
,Barbe,Bagger,0 Rieder Alley,Sacramento,CA,94297,(916) 3129877,10/27/2001
,Mikkel,Chenery,5363 Alpine Junction,New York City,NY,10184,(212) 6613313,11/26/1936
,Baldwin,Truckett,9 Colorado Avenue,Louisville,KY,40233,(502) 8996376,7/10/1956
,Udall,Chattock,6747 Maple Wood Avenue,Pasadena,CA,91103,(626) 2549601,11/23/1985
,Amalie,Holgan,07290 Hoard Circle,Youngstown,OH,44511,(330) 9524677,11/6/1976
,Wallache,Antoons,6286 Sunnyside Drive,Portsmouth,NH,214,(603) 5134837,3/24/1976
,Shandie,Charlon,06379 Continental Drive,Jersey City,NJ,7310,(908) 6757769,9/29/1988
,Sherill,Paye,83775 Warbler Plaza,Columbia,SC,29203,(803) 4353135,9/8/1949
,Markos,Aikman,1 8th Drive,Washington,DC,20575,(202) 4724628,3/17/1987
,Collen,Seccombe,1283 Cordelia Plaza,Augusta,GA,30911,(706) 5299193,9/20/1969
,Benedict,Troyes,4540 6th Trail,Charlotte,NC,28215,(704) 5639948,12/21/1953
,Rex,Spalls,7 Shelley Trail,Los Angeles,CA,90025,(310) 1319100,2/5/1939
,Chalmers,Coppens,91537 Prentice Court,Stamford,CT,6905,(203) 4166028,7/29/1949
,Ray,Braunlein,83737 Burning Wood Pass,San Francisco,CA,94105,(310) 6869875,10/22/1993
,Mandy,Sutterfield,205 Oriole Drive,Muskegon,MI,49444,(231) 8012929,5/16/1950
,Ada,Dyhouse,87 Vidon Lane,Wichita Falls,TX,76305,(940) 3240276,2/7/1964
,Annnora,Kilford,50 Messerschmidt Way,Bakersfield,CA,93399,(661) 3287290,2/4/1953
,Lanie,Barltrop,29 Southridge Place,Richmond,VA,23285,(804) 9471988,8/30/1952
,Sigismundo,Ravenscroftt,88 Fisk Point,El Paso,TX,79923,(915) 5684625,8/13/1995
